DataName,brp_Validation,Mode,Customer_Nbr,IncomeType,Employer,Employee_Status,Work_Phone,Net_Income_Amt,Gross_Income_Amt,Pay_Frequency,MonthlyDate,SemiMonthlyDate,Day_month,BrwrRegIncm_WeekDay_Frequency,BrwrRegIncm_semiMonthly_Option,BrwrRegIncm_monthlyDate,Stub_Reviewed_Month,Stub_Reviewed_Day,Stub_Reviewed_Year,PayStubReview_Date,Stub_Month,Stub_Day,Stub_Year,PayStub_Date,Hire_Date,Direct_Deposit,BrwrRegIncm_DNC_Checkbox,bri_AddIncomeSource,BrwrRegOthers_next_Button,brp_ValidationMsg
LOC_Customer_Reg,,New,,Employed,Hexaware,Active,Random,3000,3500,Bi-Weekly,,,,Tuesday,,,5,10,2018,SAME AS APPLICATIONDATE,5,10,2018,SAME AS APPLICATIONDATE,06/05/2010,No,y,,,
Title_Customer_Reg,,New,,Employed,Hexaware,Active,Random,2000,2500,Bi-Weekly,,,,Tuesday,,,5,10,2018,SAME AS APPLICATIONDATE,5,10,2018,SAME AS APPLICATIONDATE,06/05/2010,No,y,,,
PDL_Customer_Reg,,New,,Employed,Hexaware,Active,Random,2000,2500,Bi-Weekly,,,,Tuesday,,,5,10,2018,SAME AS APPLICATIONDATE,5,10,2018,SAME AS APPLICATIONDATE,06/05/2010,No,y,,,
INST_Reg_Income,,New,,Employed,Hexaware,Active,Random,2000,2500,Bi-Weekly,,,,Tuesday,,,3,19,2019,SAME AS APPLICATIONDATE,3,19,2019,SAME AS APPLICATIONDATE,06/05/2010,No,y,,,
PDL_Customer_Reg_FL,,New,,Employed,Hexaware,Active,Random,2000,2500,Bi-Weekly,,,,Tuesday,,,5,10,2018,SAME AS APPLICATIONDATE,5,10,2018,SAME AS APPLICATIONDATE,06/05/2010,No,y,,,
PDL_Customer_Reg_Monthly,,New,,Employed,Hexaware,Active,Random,2000,2500,Monthly,1st,,,,,5,10,2018,5,SAME AS APPLICATIONDATE,10,2018,No,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
PDL_Customer_Reg_SemiMonthly,,New,,Employed,Hexaware,Active,Random,2000,2500,Semi-Monthly,,Y,,,,5,10,2018,5,SAME AS APPLICATIONDATE,10,2018,No,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
PDL_Customer_Reg_Weekly,,New,,Employed,Hexaware,Active,Random,2000,2500,Weekly,,,,Tuesday,,5,10,2018,5,SAME AS APPLICATIONDATE,10,2018,No,SAME AS APPLICATIONDATE,06/05/2010,y,,,,
PDL_ConvertedCustomer,,ConvCustomer,,,,,Random,,3500,Monthly,1st,,,,,4th,5,10,2018,SAME AS APPLICATIONDATE,5,10,2018,SAME AS APPLICATIONDATE,06/05/2010,,,,,
LOC_Customer_Reg_Employed_Weekly,,New,,Employed,Target,Active,Random,1200,1500,Weekly,,,,Friday,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
TTL_Customer_Reg_Gov_BiWeekly,,New,,Government Payment,Disability,Active,Random,1200,1500,Bi-Weekly,,,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
PDL_Customer_Reg_Other_Monthly,,New,,Other,Other,Active,Random,2200,2500,Monthly,1st,,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
LOC_Customer_Reg_Retire_SemiMonthly,,New,,Retirement,Home,Active,Random,1400,1700,Semi-Monthly,,Y,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
TTL_Customer_Reg_SelfEmployed_Weekly,,New,,Self Employed,Hexaware,Active,Random,1200,1500,Weekly,,,,Friday,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
PDL_Customer_Reg_Employed_BiWeekly,,New,,Employed,Walmart,Active,Random,1200,1500,Bi-Weekly,,,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
LOC_Customer_Reg_Gov_Monthly,,New,,Government Payment,Disability,Active,Random,2000,2300,,1st,,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
TTL_Customer_Reg_Other_SemiMonthly,,New,,Other,Other,Active,Random,1500,1800,Semi-Monthly,,Y,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
PDL_Customer_Reg_Retire_Weekly,,New,,Retirement,Home,Active,Random,1000,1300,Weekly,,,,Friday,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,Yes,,,,
LOC_Customer_Reg_SelfEmployed_BiWeekly,,New,,Self Employed,Hexaware,Active,Random,1400,1700,Bi-Weekly,,,,,,,7,15,2018,SAME AS APPLICATIONDATE,7,15,2018,SAME AS APPLICATIONDATE,06/05/2010,No,,,,
