TestCases,Run
TITLE LOAN,
Prerequest_EOD_BOD_CSR1,Y
LoanMgmt_Title_Origination_ExistingCustomer,Y
LoanMgmt_Title_Origination_NewCustomer,Y
LoanMgmt_Title_VoidOrigination_NewCustomer,Y
LoanMgmt_Title_RescindOrigination_NewCustomer,Y
LoanMgmt_Title_LoanFunding_Cash,Y
LoanMgmt_Title_LoanFunding_Cash_Negotiate,Y
LoanMgmt_Title_LoanFunding_Cash_Amortization,Y
LoanMgmt_Title_LoanFunding_Check,Y
LoanMgmt_Title_Funding_ThirdPartyPayee,Y
LoanMgmt_Title_LoanPayments_Cash_PayAnyOtherAmount,Y
LoanMgmt_Title_LoanPayments_Cash_PaymentAmount,Y
LoanMgmt_Title_LoanPayments_Check_PayAnyOtherAmount,Y
LoanMgmt_Title_LoanPayments_Check_PaymentAmount,Y
LoanMgmt_Title_LoanPayments_MO_PayAnyOtherAmount,Y
LoanMgmt_Title_LoanPayments_MO_PaymentAmount,Y
LoanMgmt_Title_LoanPayments_Cash_PayOff,Y
LoanMgmt_Title_LoanPayments_Check_PayOff,Y
LoanMgmt_Title_LoanPayments_MO_PayOff,Y
LoanMgmt_Title_LoanPayments_VoidPayment,Y
LoanMgmt_Title_LoanPayments_PaymentAtOtherCenter,Y
PayDay Loan Management,
Prerequest_EOD_BOD_CSR2,Y
LoanMgmt_Payday_Origination_ExistingCustomer,Y
LoanMgmt_Payday_Origination_NewCustomer,Y
LoanMgmt_Payday_VoidOrigination_NewCustomer,Y
LoanMgmt_Payday_RescindOrigination_NewCustomer,Y
LoanMgmt_Payday_LoanFunding_Cash,Y
LoanMgmt_Payday_LoanFunding_Check,Y
LoanMgmt_Payday_LoanPayments_Cash,Y
LoanMgmt_Payday_LoanPayments_VoidPayment,Y
LoanMgmt_Payday_LoanPayments_Check,Y
LoanMgmt_Payday_LoanPayments_RescindPayment,N
LoanMgmt_Payday_LoanPayments_PartialPayment,Y
LoanMgmt_Payday_LoanPayments_VoidPartialPayment,Y
LoanMgmt_Payday_LoanPayments_PaymentAtOtherCenter,Y
LoanMgmt_Payday_LoanPayments_Moneyorders,Y
LoanMgmt_Payday_LoanStatus_RPP_Enrollment,Y
LoanMgmt_Payday_LoanStatus_RPP_Payment,Y
LoanMgmt_Payday_LoanStatus_RPP_PartialPayment,Y
LOC Loan Management,
Prerequest_EOD_BOD_CSR3,Y
LoanMgmt_LOC_Draw_NewCustomer,Y
LoanMgmt_LOC_Draw_ExistingCustomer,Y
LoanMgmt_LOC_VoidDraw_NewCustomer,Y
LoanMgmt_LOC_LoanFunding_Cash,Y
LoanMgmt_LOC_LoanFunding_Check,Y
LoanMgmt_LOC_LoanFunding_ACH,Y
LoanMgmt_LOC_LoanPayments_Cash,Y
LoanMgmt_LOC_LoanPayments_VoidPayment,Y
LoanMgmt_LOC_LoanPayments_Check,Y
LoanMgmt_LOC_LoanPayments_RescindPayment,Y
LoanMgmt_LOC_LoanPayments_PayOff,Y
LoanMgmt_LOC_LoanPayments_LOCClosure,Y
