TestCases,Run
CashManagement,
CashMgmt_Safe_Assign,Y
CashMgmt_storeToStoreTransferAndVoid,Y
CashMgmt_Drawer_Assign_Safe_CashIn,Y
CashMgmt_InternalTransfer_Safe_ToDrawer,Y
CashMgmt_Drawer_Balance,Y
CashMgmt_Drawer_DeAssign,Y
CashMgmt_Safe_Balance,Y
CashMgmt_Safe_DepositAndVoid,Y
CashMgmt_Safe_manualDepositSlip,Y
CashMgmt_adminDrawerDessign,Y
CashMgmt_eodProcessing,Y
CashMgmt_adminProcessDateChange,Y
CashMgmt_adminEODBatchProcess,Y
CashMgmt_Safe_DeAssign,Y
Negative,
Neg_CashMgmt_CashIn_NoSafeAssigned,Y
Neg_CashMgmt_SafeAssign_AlreadyAssigned_Error,Y
Neg_CashMgmt_SafeBalance_BankerPINInvalid_Error,Y
Neg_CashMgmt_SafeDeAssign_BankerPINInvalid_Error,Y
Neg_CashMgmt_DrawerAssign_AlreadyAssigned_Error,Y
Neg_CashMgmt_DrawerBalance_InvalidUserPIN_Error,Y
Neg_CashMgmt_DrawerDeAssign_InvalidUserPIN_Error,Y
Cutomer Management,N
Prerequest_BOD_CSR1,Y
CustMgmt_Registration,Y
CustMgmt_Edit,Y
CustMgmt_UploadCustomerDocuments,N
CustMgmt_IncomeWorksheet,N
CustMgmt_Bankruptcy,Y
CustMgmt_BankruptcyDischarge,Y
CustMgmt_BankruptcyDismiss,Y
CustMgmt_PendingBankruptcy,Y
CustMgmt_PendingBankruptcyVoid,Y
CustMgmt_PendingVoid,N
CustMgmt_BankruptcyVoid,N
CustMgmt_Deceased,Y
CustMgmt_DeceasedVoid,Y
CustMgmt_CustomerComms_Optin_Optout,N
CustMgmt_CustomerSummaryView,N
CustMgmt_InactiveBankAcct_Title,Y
CustMgmt_InactiveBankAcct_LOC,Y
CustMgmt_ClosedBankAcct_Title,Y
CustMgmt_ClosedBankAcct_LOC,Y
CustMgmt_ClosedBankAcct_PayDay,Y
CustMgmt_NoticeOfIncomplete,Y
CustMgmt_EmailOptInMsg,Y
CustMgmt_EmailOptOutMsg,Y
Collections Management,
Prerequest_BOD_CSR1,Y
CollMgmt_SearchByCustomer,N
CollMgmt_CE_CollectionPayoff,N
CollMgmt_CE_PTP,N
CollMgmt_CE_Bankruptcy,N
CollMgmt_VerifyCustomerRecord,N
CollMgmt_VerifyEmailHistory,N
CollMgmt_NotesHistory,N
CollMgmt_VerifyPaymentSchedule,N
CollMgmt_VerifyPTPHistory,N
CollMgmt_CustomerSearchByQueue,N
CollMgmt_SummaryView,N
CollMgmt_VerifyVehicleHistory,N
CollMgmt_VerifyTransactionHistory,N
Miscellaneous_Transactions,
Prerequest_BOD_CSR1,Y
MiscTran_MOR_Miscellaneous_Other_Receipts,Y
MiscTran_MD_MiscDisbursement,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
,Y
