TestCases,Run
Test_AnotherStore_SafeAndDrawerDessign,Y
Prerequest_EOD_BOD_CSR2,Y
LoanMgmt_Payday_Origination_ExistingCustomer,Y
LoanMgmt_Payday_Origination_NewCustomer,Y
LoanMgmt_Payday_VoidOrigination_NewCustomer,Y
LoanMgmt_Payday_RescindOrigination_NewCustomer,Y
LoanMgmt_Payday_LoanFunding_Cash,Y
LoanMgmt_Payday_LoanPayments_Cash_BuyBack,Y
LoanMgmt_Payday_LoanPayments_VoidPayment,Y
LoanMgmt_Payday_LoanPayments_PartialPayment,Y
LoanMgmt_Payday_LoanPayments_VoidPartialPayment,Y
LoanMgmt_Payday_LoanPayments_Moneyorders,Y
LoanMgmt_Payday_LoanPayments_ACHPrePayment,Y
LoanMgmt_Payday_LoanPayments_Overpayment,Y
LoanMgmt_Payday_LoanPayments_Refund,Y
LoanMgmt_Payday_LoanPayments_VoidRefund,Y
LoanMgmt_Payday_LoanStatus_WriteOffFromAdmin,Y
LoanMgmt_Payday_LoanStatus_WriteOffRecovery,Y
Negative,
Neg_LoanMgmt_Payment_PDL_BlanckPaymentAmount,Y
Neg_LoanMgmt_Payment_PDL_BlanckTenderType,Y
Neg_LoanMgmt_Payment_PDL_BlanckTenderAmount,Y
Neg_LoanMgmt_Payment_PDL_MoreThanLoanAmount,Y
Neg_LoanMgmt_Payment_PDL_BlanckBothTenderType,Y
Neg_LoanMgmt_Payment_PDL_BlanckBothTenderAmount,Y
Neg_LoanMgmt_BrwReg_PDL_SSN_Mismatch,Y
Neg_LoanMgmt_BrwReg_PDL_SSN_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_ConfirmSSN_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_LastName_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_LastName_Numeric,Y
Neg_LoanMgmt_BrwReg_PDL_LastName_AlphaNumeric,Y
Neg_LoanMgmt_BrwReg_PDL_FirstName_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_FirstName_Numeric,Y
Neg_LoanMgmt_BrwReg_PDL_FirstName_AlphaNumeric,Y
Neg_LoanMgmt_BrwReg_PDL_MiddleName_Numeric,Y
Neg_LoanMgmt_BrwReg_PDL_MiddleName_AlphaNumeric,Y
Neg_LoanMgmt_BrwReg_PDL_AddL1_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_City_Numeric,Y
Neg_LoanMgmt_BrwReg_PDL_City_AlphaNumeric,Y
Neg_LoanMgmt_BrwReg_PDL_Zip_4digit,Y
Neg_LoanMgmt_BrwReg_PDL_Zip_AlphaNumeric,Y
Neg_LoanMgmt_BrwReg_PDL_AddrMonths_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_PrimPhone_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_PrimPhone_lessthan10digit,Y
Neg_LoanMgmt_BrwReg_PDL_PrimPhoneType_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_SecPhoneType_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_Email_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_Email_Invalid,Y
Neg_LoanMgmt_BrwReg_PDL_PhotoIdNbr_Invalid,Y
Neg_LoanMgmt_BrwReg_PDL_PhotoIdNbr_SplChr,Y
Neg_LoanMgmt_BrwReg_PDL_PhotoIdState_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_PhotoIdType_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_PhotoIDZip_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_PhotoIDZip_Mismatch,Y
Neg_LoanMgmt_BrwReg_PDL_DOB_Blank,Y
Neg_LoanMgmt_BrwReg_PDL_IDExpiry_Invalid,Y
Neg_LoanMgmt_BrwRegInc_PDL_IncomeType_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_Employer_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_Employer_SplChr,Y
Neg_LoanMgmt_BrwRegInc_PDL_WorkPhone_AllZero,Y
Neg_LoanMgmt_BrwRegInc_PDL_WorkPhone_lessthan10digit,Y
Neg_LoanMgmt_BrwRegInc_PDL_GrossInc_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_GrossInc_Zero,Y
Neg_LoanMgmt_BrwRegInc_PDL_NetInc_Blank,Y
Neg_LoanMgmt_BrwRegInc_PDL_NetInc_Zero,Y
Neg_LoanMgmt_BrwRegInc_PDL_GrossLessThanNetInc,Y
