TestCases,Run
PAM_LoanOrigination_PAM,Y
PAM_FN_Search_verification,Y
PAM_LN_Search_verification,Y
PAM_SSN_Search_verification,Y
PAM_DOB_Search_verification,Y
PAM_PN_Search_verification,Y
PAM_AD_Search_verification,Y
PAM_App_Loan_Denial,Y
PAM_App_Need_Info,Y
PAM_App_Hold,Y
PAM_LoanOrigination,Y
CSR_ACHRevokeAuthorize,Y
Admin_Processdatechange_pam,Y
Admin_Processdatechange_csr,Y
PAM_Loan_Void,Y
CSR_cashAtStore,Y
CSR_ACHRevokeAuthorize_LOC,Y
CSR_Draw_later,Y
CSR_Payments,Y
CSR_PayOff,Y
CSR_Void_Payoff,Y
CSR_LOC_Closure_Flow,Y
PAM_ACHRevokeAuthorize_LOC,Y
PAM_Draw_later,Y
PAM_Payments,Y
PAM_PayOff,Y
PAM_Void_Payoff,Y
PAM_LOC_Closure_Flow,Y
CSR_RCCRevokeAuthorize_LOC,Y
PAM_RCCRevokeAuthorize_LOC,Y
